"filename", "language", "JavaScript", "JSON", "SQL", "Prisma", "comment", "blank", "total"
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20230926142812_currency_conversion_float\migration.sql", "SQL", 0, 0, 1, 0, 1, 1, 3
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20230927073951_full_schema\migration.sql", "SQL", 0, 0, 219, 0, 47, 64, 330
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20230927081711_sub_schema_final\migration.sql", "SQL", 0, 0, 8, 0, 16, 4, 28
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20230927081753_sub_schema_final\migration.sql", "SQL", 0, 0, 2, 0, 8, 1, 11
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20230927112520_fix_id\migration.sql", "SQL", 0, 0, 44, 0, 55, 28, 127
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20230927115518_view_tag\migration.sql", "SQL", 0, 0, 2, 0, 7, 1, 10
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20230927115713_view_tag_false\migration.sql", "SQL", 0, 0, 1, 0, 1, 1, 3
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20230927131425_category\migration.sql", "SQL", 0, 0, 1, 0, 1, 1, 3
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20230927141908_developer_image\migration.sql", "SQL", 0, 0, 2, 0, 2, 2, 6
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231002065501_aminities_image\migration.sql", "SQL", 0, 0, 2, 0, 8, 2, 12
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231002072156_image_aminity\migration.sql", "SQL", 0, 0, 3, 0, 3, 3, 9
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231002142937_announcement_images\migration.sql", "SQL", 0, 0, 1, 0, 7, 1, 9
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231002143318_announcement2\migration.sql", "SQL", 0, 0, 6, 0, 12, 5, 23
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231003063416_enums\migration.sql", "SQL", 0, 0, 10, 0, 13, 6, 29
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231004140400_full_schema\migration.sql", "SQL", 0, 0, 14, 0, 5, 6, 25
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231005064135_meta\migration.sql", "SQL", 0, 0, 6, 0, 5, 5, 16
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231005081622_guest\migration.sql", "SQL", 0, 0, 1, 0, 7, 1, 9
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231005091437_purpose_enquiry\migration.sql", "SQL", 0, 0, 2, 0, 7, 1, 10
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231005103438_listwithus_purpose\migration.sql", "SQL", 0, 0, 2, 0, 7, 1, 10
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231005115113_adding_area\migration.sql", "SQL", 0, 0, 3, 0, 2, 2, 7
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231006071736_application\migration.sql", "SQL", 0, 0, 6, 0, 9, 2, 17
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231006073716_applications\migration.sql", "SQL", 0, 0, 2, 0, 8, 1, 11
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231006075645_application2\migration.sql", "SQL", 0, 0, 2, 0, 1, 1, 4
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231007114811_list_withus_images\migration.sql", "SQL", 0, 0, 2, 0, 2, 2, 6
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231007124153_list_withusimages\migration.sql", "SQL", 0, 0, 10, 0, 13, 7, 30
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231007124457_list_with_us_images_second\migration.sql", "SQL", 0, 0, 5, 0, 11, 5, 21
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231007180618_quarter_final_schema\migration.sql", "SQL", 0, 0, 15, 0, 5, 6, 26
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231007185034_quarter_final\migration.sql", "SQL", 0, 0, 3, 0, 9, 3, 15
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231013093811_finalv2\migration.sql", "SQL", 0, 0, 1, 0, 1, 1, 3
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231015155134_finalv3\migration.sql", "SQL", 0, 0, 2, 0, 2, 2, 6
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231030123237_remove_title\migration.sql", "SQL", 0, 0, 1, 0, 7, 1, 9
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\prisma\migrations\20231110091931_property_units_payment\migration.sql", "SQL", 0, 0, 68, 0, 25, 15, 108
